RedFighter,BlueFighter,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Jack Jenkins,Don Shainis,2023-02-11,"Perth, Western Australia, Australia",Australia,Jack Jenkins,False,Featherweight,Australian,Don Shainis,Other
Jake Matthews,Matthew Semelsberger,2022-12-17,"Las Vegas, Nevada, USA",USA,Matthew Semelsberger,False,Welterweight,Other,Jake Matthews,Australian
Tai Tuivasa,Sergei Pavlovich,2022-12-03,"Orlando, Florida, USA",USA,Sergei Pavlovich,False,Heavyweight,Other,Tai Tuivasa,Australian
Jack Della Maddalena,Danny Roberts,2022-11-19,"Las Vegas, Nevada, USA",USA,Jack Della Maddalena,False,Welterweight,Australian,Danny Roberts,Other
Nick Maximov,Jacob Malkoun,2022-10-15,"Las Vegas, Nevada, USA",USA,Jacob Malkoun,False,Middleweight,Australian,Nick Maximov,Other
Ciryl Gane,Tai Tuivasa,2022-09-03,"Paris, Ile-de-France, France",France,Ciryl Gane,False,Heavyweight,Other,Tai Tuivasa,Australian
Robert Whittaker,Marvin Vettori,2022-09-03,"Paris, Ile-de-France, France",France,Robert Whittaker,False,Middleweight,Australian,Marvin Vettori,Other
Tyson Pedro,Harry Hunsucker,2022-08-20,"Salt Lake City, Utah, USA",USA,Tyson Pedro,False,Light Heavyweight,Australian,Harry Hunsucker,Other
Michael Johnson,Jamie Mullarkey,2022-07-09,"Las Vegas, Nevada, USA",USA,Jamie Mullarkey,False,Lightweight,Australian,Michael Johnson,Other
Alexander Volkanovski,Max Holloway,2022-07-02,"Las Vegas, Nevada, USA",USA,Alexander Volkanovski,True,Featherweight,Australian,Max Holloway,Other
Andre Fialho,Jake Matthews,2022-06-11,"Kallang, Singapore",Singapore,Jake Matthews,False,Welterweight,Australian,Andre Fialho,Other
Jack Della Maddalena,Ramazan Emeev,2022-06-11,"Kallang, Singapore",Singapore,Jack Della Maddalena,False,Welterweight,Australian,Ramazan Emeev,Other
Brendan Allen,Jacob Malkoun,2022-06-11,"Kallang, Singapore",Singapore,Brendan Allen,False,Middleweight,Other,Jacob Malkoun,Australian
Tyson Pedro,Ike Villanueva,2022-04-23,"Las Vegas, Nevada, USA",USA,Tyson Pedro,False,Light Heavyweight,Australian,Ike Villanueva,Other
Alexander Volkanovski,Chan Sung Jung,2022-04-09,"Jacksonville, Florida, USA",USA,Alexander Volkanovski,True,Featherweight,Australian,Chan Sung Jung,Other
Jalin Turner,Jamie Mullarkey,2022-03-05,"Las Vegas, Nevada, USA",USA,Jalin Turner,False,Lightweight,Other,Jamie Mullarkey,Australian
Israel Adesanya,Robert Whittaker,2022-02-12,"Houston, Texas, USA",USA,Israel Adesanya,True,Middleweight,Other,Robert Whittaker,Australian
Derrick Lewis,Tai Tuivasa,2022-02-12,"Houston, Texas, USA",USA,Tai Tuivasa,False,Heavyweight,Australian,Derrick Lewis,Other
AJ Dobson,Jacob Malkoun,2022-02-12,"Houston, Texas, USA",USA,Jacob Malkoun,False,Middleweight,Australian,AJ Dobson,Other
Jack Della Maddalena,Pete Rodriguez,2022-01-22,"Anaheim, California, USA",USA,Jack Della Maddalena,False,Welterweight,Australian,Pete Rodriguez,Other
Justin Tafa,Harry Hunsucker,2021-12-18,"Las Vegas, Nevada, USA",USA,Justin Tafa,False,Heavyweight,Australian,Harry Hunsucker,Other
Augusto Sakai,Tai Tuivasa,2021-12-11,"Las Vegas, Nevada, USA",USA,Tai Tuivasa,False,Heavyweight,Australian,Augusto Sakai,Other
Jimmy Crute,Jamahal Hill,2021-12-04,"Las Vegas, Nevada, USA",USA,Jamahal Hill,False,Light Heavyweight,Other,Jimmy Crute,Australian
Devonte Smith,Jamie Mullarkey,2021-10-02,"Las Vegas, Nevada, USA",USA,Jamie Mullarkey,False,Lightweight,Australian,Devonte Smith,Other
Alexander Volkanovski,Brian Ortega,2021-09-25,"Las Vegas, Nevada, USA",USA,Alexander Volkanovski,True,Featherweight,Australian,Brian Ortega,Other
Tai Tuivasa,Greg Hardy,2021-07-10,"Las Vegas, Nevada, USA",USA,Tai Tuivasa,False,Heavyweight,Australian,Greg Hardy,Other
Justin Tafa,Jared Vanderaa,2021-05-22,"Las Vegas, Nevada, USA",USA,Jared Vanderaa,False,Heavyweight,Other,Justin Tafa,Australian
Anthony Smith,Jimmy Crute,2021-04-24,"Jacksonville, Florida, USA",USA,Anthony Smith,False,Light Heavyweight,Other,Jimmy Crute,Australian
Robert Whittaker,Kelvin Gastelum,2021-04-17,"Las Vegas, Nevada, USA",USA,Robert Whittaker,False,Middleweight,Australian,Kelvin Gastelum,Other
Abdul Razak Alhassan,Jacob Malkoun,2021-04-17,"Las Vegas, Nevada, USA",USA,Jacob Malkoun,False,Middleweight,Australian,Abdul Razak Alhassan,Other
Jamie Mullarkey,Khama Worthy,2021-03-27,"Las Vegas, Nevada, USA",USA,Jamie Mullarkey,False,Lightweight,Australian,Khama Worthy,Other
Tai Tuivasa,Harry Hunsucker,2021-03-20,"Las Vegas, Nevada, USA",USA,Tai Tuivasa,False,Heavyweight,Australian,Harry Hunsucker,Other
Sean Brady,Jake Matthews,2021-03-06,"Las Vegas, Nevada, USA",USA,Sean Brady,False,Welterweight,Other,Jake Matthews,Australian
Carlos Felipe,Justin Tafa,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Carlos Felipe,False,Heavyweight,Other,Justin Tafa,Australian
Robert Whittaker,Jared Cannonier,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Robert Whittaker,False,Middleweight,Australian,Jared Cannonier,Other
Jacob Malkoun,Phillip Hawes,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Phillip Hawes,False,Middleweight,Other,Jacob Malkoun,Australian
Stefan Struve,Tai Tuivasa,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Tai Tuivasa,False,Heavyweight,Australian,Stefan Struve,Other
Jimmy Crute,Modestas Bukauskas,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Jimmy Crute,False,Light Heavyweight,Australian,Modestas Bukauskas,Other
Jamie Mullarkey,Fares Ziam,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Fares Ziam,False,Lightweight,Other,Jamie Mullarkey,Australian
Diego Sanchez,Jake Matthews,2020-09-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Jake Matthews,False,Welterweight,Australian,Diego Sanchez,Other
Robert Whittaker,Darren Till,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Robert Whittaker,False,Middleweight,Australian,Darren Till,Other
Alexander Volkanovski,Max Holloway,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Alexander Volkanovski,True,Featherweight,Australian,Max Holloway,Other
Ben Sosoli,Marcos Rogerio De Lima,2020-02-22,"Auckland, New Zealand", New Zealand,Marcos Rogerio De Lima,False,Heavyweight,Other,Ben Sosoli,Australian
Jalin Turner,Joshua Culibao,2020-02-22,"Auckland, New Zealand", New Zealand,Jalin Turner,False,Lightweight,Other,Joshua Culibao,Australian
Jake Matthews,Emil Meek,2020-02-22,"Auckland, New Zealand", New Zealand,Jake Matthews,False,Welterweight,Australian,Emil Meek,Other
Callan Potter,Song Kenan,2020-02-22,"Auckland, New Zealand", New Zealand,Song Kenan,False,Welterweight,Other,Callan Potter,Australian
Juan Adams,Justin Tafa,2020-02-08,"Houston, Texas, USA", USA,Justin Tafa,False,Heavyweight,Australian,Juan Adams,Other
Seungwoo Choi,Suman Mokhtarian,2019-12-21,"Busan, South Korea", South Korea,Seungwoo Choi,False,Featherweight,Other,Suman Mokhtarian,Australian
Max Holloway,Alexander Volkanovski,2019-12-14,"Las Vegas, Nevada, USA", USA,Alexander Volkanovski,True,Featherweight,Australian,Max Holloway,Other
Robert Whittaker,Israel Adesanya,2019-10-05,"Melbourne, Victoria, Australia", Australia,Israel Adesanya,True,Middleweight,Other,Robert Whittaker,Australian
Tai Tuivasa,Serghei Spivac,2019-10-05,"Melbourne, Victoria, Australia", Australia,Serghei Spivac,False,Heavyweight,Other,Tai Tuivasa,Australian
Justin Tafa,Yorgan De Castro,2019-10-05,"Melbourne, Victoria, Australia", Australia,Yorgan De Castro,False,Heavyweight,Other,Justin Tafa,Australian
Jake Matthews,Rostem Akman,2019-10-05,"Melbourne, Victoria, Australia", Australia,Jake Matthews,False,Welterweight,Australian,Rostem Akman,Other
Callan Potter,Maki Pitolo,2019-10-05,"Melbourne, Victoria, Australia", Australia,Callan Potter,False,Welterweight,Australian,Maki Pitolo,Other
Brad Riddell,Jamie Mullarkey,2019-10-05,"Melbourne, Victoria, Australia", Australia,Brad Riddell,False,Lightweight,Other,Jamie Mullarkey,Australian
Misha Cirkunov,Jimmy Crute,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Misha Cirkunov,False,Light Heavyweight,Other,Jimmy Crute,Australian
Tai Tuivasa,Blagoy Ivanov,2019-06-08,"Chicago, Illinois, USA", USA,Blagoy Ivanov,False,Heavyweight,Other,Tai Tuivasa,Australian
Jose Aldo,Alexander Volkanovski,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Alexander Volkanovski,False,Featherweight,Australian,Jose Aldo,Other
Jimmy Crute,Sam Alvey,2019-02-09,"Melbourne, Victoria, Australia", Australia,Jimmy Crute,False,Light Heavyweight,Australian,Sam Alvey,Other
Callan Potter,Jalin Turner,2019-02-09,"Melbourne, Victoria, Australia", Australia,Jalin Turner,False,Lightweight,Other,Callan Potter,Australian
Chad Mendes,Alexander Volkanovski,2018-12-29,"Los Angeles, California, USA", USA,Alexander Volkanovski,False,Featherweight,Australian,Chad Mendes,Other
Junior Dos Santos,Tai Tuivasa,2018-12-01,"Adelaide, South Australia, Australia", Australia,Junior Dos Santos,False,Heavyweight,Other,Tai Tuivasa,Australian
Mauricio Rua,Tyson Pedro,2018-12-01,"Adelaide, South Australia, Australia", Australia,Mauricio Rua,False,Light Heavyweight,Other,Tyson Pedro,Australian
Mark Hunt,Justin Willis,2018-12-01,"Adelaide, South Australia, Australia", Australia,Justin Willis,False,Heavyweight,Other,Mark Hunt,Australian
Jake Matthews,Anthony Rocco Martin,2018-12-01,"Adelaide, South Australia, Australia", Australia,Anthony Rocco Martin,False,Welterweight,Other,Jake Matthews,Australian
Suman Mokhtarian,Sodiq Yusuff,2018-12-01,"Adelaide, South Australia, Australia", Australia,Sodiq Yusuff,False,Featherweight,Other,Suman Mokhtarian,Australian
Jimmy Crute,Paul Craig,2018-12-01,"Adelaide, South Australia, Australia", Australia,Jimmy Crute,False,Light Heavyweight,Australian,Paul Craig,Other
Wilson Reis,Ben Nguyen,2018-12-01,"Adelaide, South Australia, Australia", Australia,Wilson Reis,False,Flyweight,Other,Ben Nguyen,Australian
Mark Hunt,Aleksei Oleinik,2018-09-15,"Moscow, Moscow, Russia", Russia,Aleksei Oleinik,False,Heavyweight,Other,Mark Hunt,Australian
Darren Elkins,Alexander Volkanovski,2018-07-14,"Boise, Idaho, USA", USA,Alexander Volkanovski,False,Featherweight,Australian,Darren Elkins,Other
Ovince Saint Preux,Tyson Pedro,2018-06-23,"Kallang, Singapore", Singapore,Ovince Saint Preux,False,Light Heavyweight,Other,Tyson Pedro,Australian
Shinsho Anzai,Jake Matthews,2018-06-23,"Kallang, Singapore", Singapore,Jake Matthews,False,Welterweight,Australian,Shinsho Anzai,Other
Robert Whittaker,Yoel Romero,2018-06-09,"Chicago, Illinois, USA", USA,Robert Whittaker,False,Middleweight,Australian,Yoel Romero,Other
Andrei Arlovski,Tai Tuivasa,2018-06-09,"Chicago, Illinois, USA", USA,Tai Tuivasa,False,Heavyweight,Australian,Andrei Arlovski,Other
Daniel Kelly,Tom Breese,2018-05-27,"Liverpool, England, United Kingdom", United Kingdom,Tom Breese,False,Middleweight,Other,Daniel Kelly,Australian
Mark Hunt,Curtis Blaydes,2018-02-10,"Perth, Western Australia, Australia", Australia,Curtis Blaydes,False,Heavyweight,Other,Mark Hunt,Australian
Tai Tuivasa,Cyril Asker,2018-02-10,"Perth, Western Australia, Australia", Australia,Tai Tuivasa,False,Heavyweight,Australian,Cyril Asker,Other
Jake Matthews,Li Jingliang,2018-02-10,"Perth, Western Australia, Australia", Australia,Jake Matthews,False,Welterweight,Australian,Li Jingliang,Other
Tyson Pedro,Saparbeg Safarov,2018-02-10,"Perth, Western Australia, Australia", Australia,Tyson Pedro,False,Light Heavyweight,Australian,Saparbeg Safarov,Other
Damien Brown,Dong Hyun Ma,2018-02-10,"Perth, Western Australia, Australia", Australia,Dong Hyun Ma,False,Lightweight,Other,Damien Brown,Australian
Rob Wilkinson,Israel Adesanya,2018-02-10,"Perth, Western Australia, Australia", Australia,Israel Adesanya,False,Middleweight,Other,Rob Wilkinson,Australian
Alexander Volkanovski,Jeremy Kennedy,2018-02-10,"Perth, Western Australia, Australia", Australia,Alexander Volkanovski,False,Featherweight,Australian,Jeremy Kennedy,Other
Jussier Formiga,Ben Nguyen,2018-02-10,"Perth, Western Australia, Australia", Australia,Jussier Formiga,False,Flyweight,Other,Ben Nguyen,Australian
Jake Matthews,Bojan Velickovic,2017-11-18,"Sydney, New South Wales, Australia", Australia,Jake Matthews,False,Welterweight,Australian,Bojan Velickovic,Other
Elias Theodorou,Daniel Kelly,2017-11-18,"Sydney, New South Wales, Australia", Australia,Elias Theodorou,False,Middleweight,Other,Daniel Kelly,Australian
Alexander Volkanovski,Shane Young,2017-11-18,"Sydney, New South Wales, Australia", Australia,Alexander Volkanovski,False,Catch Weight,Australian,Shane Young,Other
Ryan Benoit,Ashkan Mokhtarian,2017-11-18,"Sydney, New South Wales, Australia", Australia,Ryan Benoit,False,Flyweight,Other,Ashkan Mokhtarian,Australian
Rashad Coulter,Tai Tuivasa,2017-11-18,"Sydney, New South Wales, Australia", Australia,Tai Tuivasa,False,Heavyweight,Australian,Rashad Coulter,Other
Damien Brown,Frank Camacho,2017-11-18,"Sydney, New South Wales, Australia", Australia,Frank Camacho,False,Lightweight,Other,Damien Brown,Australian
Ilir Latifi,Tyson Pedro,2017-09-09,"Edmonton, Alberta, Canada", Canada,Ilir Latifi,False,Light Heavyweight,Other,Tyson Pedro,Australian
Siyar Bahadurzada,Rob Wilkinson,2017-09-02,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Siyar Bahadurzada,False,Middleweight,Other,Rob Wilkinson,Australian
Yoel Romero,Robert Whittaker,2017-07-08,"Las Vegas, Nevada, USA", USA,Robert Whittaker,True,Middleweight,Australian,Yoel Romero,Other
Derrick Lewis,Mark Hunt,2017-06-10,"Auckland, New Zealand", New Zealand,Mark Hunt,False,Heavyweight,Australian,Derrick Lewis,Other
Derek Brunson,Daniel Kelly,2017-06-10,"Auckland, New Zealand", New Zealand,Derek Brunson,False,Middleweight,Other,Daniel Kelly,Australian
Tim Elliott,Ben Nguyen,2017-06-10,"Auckland, New Zealand", New Zealand,Ben Nguyen,False,Flyweight,Australian,Tim Elliott,Other
Alexander Volkanovski,Mizuto Hirota,2017-06-10,"Auckland, New Zealand", New Zealand,Alexander Volkanovski,False,Featherweight,Australian,Mizuto Hirota,Other
Damien Brown,Vinc Pichel,2017-06-10,"Auckland, New Zealand", New Zealand,Vinc Pichel,False,Lightweight,Other,Damien Brown,Australian
John Moraga,Ashkan Mokhtarian,2017-06-10,"Auckland, New Zealand", New Zealand,John Moraga,False,Flyweight,Other,Ashkan Mokhtarian,Australian
Jacare Souza,Robert Whittaker,2017-04-15,"Kansas City, Missouri, USA", USA,Robert Whittaker,False,Middleweight,Australian,Jacare Souza,Other
Rashad Evans,Daniel Kelly,2017-03-04,"Las Vegas, Nevada, USA", USA,Daniel Kelly,False,Middleweight,Australian,Rashad Evans,Other
Alistair Overeem,Mark Hunt,2017-03-04,"Las Vegas, Nevada, USA", USA,Alistair Overeem,False,Heavyweight,Other,Mark Hunt,Australian
Tyson Pedro,Paul Craig,2017-03-04,"Las Vegas, Nevada, USA", USA,Tyson Pedro,False,Light Heavyweight,Australian,Paul Craig,Other
Dong Hyun Ma,Brendan O'Reilly,2016-12-03,"Las Vegas, Nevada, USA", USA,Dong Hyun Ma,False,Lightweight,Other,Brendan O'Reilly,Australian
Robert Whittaker,Derek Brunson,2016-11-26,"Melbourne, Victoria, Australia", Australia,Robert Whittaker,False,Middleweight,Australian,Derek Brunson,Other
Jake Matthews,Andrew Holbrook,2016-11-26,"Melbourne, Victoria, Australia", Australia,Andrew Holbrook,False,Lightweight,Other,Jake Matthews,Australian
Yusuke Kasuya,Alexander Volkanovski,2016-11-26,"Melbourne, Victoria, Australia", Australia,Alexander Volkanovski,False,Lightweight,Australian,Yusuke Kasuya,Other
Khalil Rountree Jr.,Tyson Pedro,2016-11-26,"Melbourne, Victoria, Australia", Australia,Tyson Pedro,False,Light Heavyweight,Australian,Khalil Rountree Jr.,Other
Daniel Kelly,Chris Camozzi,2016-11-26,"Melbourne, Victoria, Australia", Australia,Daniel Kelly,False,Middleweight,Australian,Chris Camozzi,Other
Damien Brown,Jon Tuck,2016-11-26,"Melbourne, Victoria, Australia", Australia,Damien Brown,False,Lightweight,Australian,Jon Tuck,Other
Ben Nguyen,Geane Herrera,2016-11-26,"Melbourne, Victoria, Australia", Australia,Ben Nguyen,False,Flyweight,Australian,Geane Herrera,Other
Cesar Arzamendia,Damien Brown,2016-07-30,"Atlanta, Georgia, USA", USA,Damien Brown,False,Lightweight,Australian,Cesar Arzamendia,Other
Louis Smolka,Ben Nguyen,2016-07-13,"Sioux Falls, South Dakota, USA", USA,Louis Smolka,False,Flyweight,Other,Ben Nguyen,Australian
Jake Matthews,Kevin Lee,2016-07-08,"Las Vegas, Nevada, USA", USA,Kevin Lee,False,Lightweight,Other,Jake Matthews,Australian
Robert Whittaker,Rafael Natal,2016-04-23,"Las Vegas, Nevada, USA", USA,Robert Whittaker,False,Middleweight,Australian,Rafael Natal,Other
Mark Hunt,Frank Mir,2016-03-19,"Brisbane, Queensland, Australia", Australia,Mark Hunt,False,Heavyweight,Australian,Frank Mir,Other
Jake Matthews,Johnny Case,2016-03-19,"Brisbane, Queensland, Australia", Australia,Jake Matthews,False,Lightweight,Australian,Johnny Case,Other
Daniel Kelly,Antonio Carlos Junior,2016-03-19,"Brisbane, Queensland, Australia", Australia,Daniel Kelly,False,Middleweight,Australian,Antonio Carlos Junior,Other
James Te Huna,Steve Bosse,2016-03-19,"Brisbane, Queensland, Australia", Australia,Steve Bosse,False,Light Heavyweight,Other,James Te Huna,Australian
Brendan O'Reilly,Alan Jouban,2016-03-19,"Brisbane, Queensland, Australia", Australia,Alan Jouban,False,Welterweight,Other,Brendan O'Reilly,Australian
Alan Patrick,Damien Brown,2016-03-19,"Brisbane, Queensland, Australia", Australia,Alan Patrick,False,Lightweight,Other,Damien Brown,Australian
Mark Hunt,Antonio Silva,2015-11-14,"Melbourne, Victoria, Australia", Australia,Mark Hunt,False,Heavyweight,Australian,Antonio Silva,Other
Uriah Hall,Robert Whittaker,2015-11-14,"Melbourne, Victoria, Australia", Australia,Robert Whittaker,False,Middleweight,Australian,Uriah Hall,Other
